delivery_area_id;partners_cnt;orders_cnt;day_of_week;hour;delay_rate;perc
0;5;2.0;0;11;0.042449218885438275;2.5
0;10;3.0;0;12;0.03602820518723677;3.3333333333333335
0;6;2.0;0;13;0.04269416087097161;3.0
0;10;3.0;0;14;0.03892929002454795;3.3333333333333335
0;12;4.0;0;15;0.04163803028169064;3.0
0;10;4.0;0;16;0.0386937705717287;2.5
0;10;4.0;0;17;0.03522464842289355;2.5
0;12;4.0;0;18;0.0426923328257646;3.0
0;13;4.0;0;20;0.04059209706857045;3.25
0;1;1.0;0;21;0.006455663963527336;1.0
1;7;4.0;0;11;0.04042111203906289;1.75
1;7;4.0;0;12;0.03202109929184702;1.75
1;12;6.0;0;13;0.042157477213978244;2.0
1;3;2.0;0;14;0.042365314899695056;1.5
1;3;2.0;0;15;0.037516711957715186;1.5
1;6;4.0;0;16;0.04411277170391986;1.5
1;3;3.0;0;17;0.04427067131642716;1.0
1;3;2.0;0;18;0.03711387406956986;1.5
1;10;3.0;0;19;0.029495757964022335;3.3333333333333335
1;1;1.0;0;21;0.001393956408511262;1.0
3;5;3.0;0;10;0.04164914935266772;1.6666666666666667
3;5;3.0;0;11;0.03564756185833429;1.6666666666666667
3;3;2.0;0;12;0.029110279024305002;1.5
3;3;2.0;0;13;0.042365314899695056;1.5
3;3;2.0;0;14;0.042365314899695056;1.5
3;5;3.0;0;15;0.037060889702081795;1.6666666666666667
3;10;5.0;0;16;0.0307665972952015;2.0
3;3;3.0;0;17;0.04427067131642716;1.0
3;7;3.0;0;18;0.044874805753529964;2.3333333333333335
3;10;3.0;0;19;0.029495757964022335;3.3333333333333335
3;10;3.0;0;20;0.020068738362117432;3.3333333333333335
3;1;1.0;0;21;0.001393956408511262;1.0
4;7;4.0;0;11;0.037710245567166206;1.75
4;10;5.0;0;12;0.043970044543150344;2.0
4;12;6.0;0;13;0.042157477213978244;2.0
4;12;5.0;0;14;0.038950208231936824;2.4
4;5;3.0;0;15;0.037060889702081795;1.6666666666666667
4;3;3.0;0;16;0.04407387385131546;1.0
4;6;4.0;0;17;0.04159870269713488;1.5
4;12;5.0;0;18;0.0418128706975936;2.4
4;10;4.0;0;20;0.043542971355030824;2.5
4;4;2.0;0;21;0.029292678698153357;2.0
5;12;6.0;0;11;0.04366929788481505;2.0
5;10;5.0;0;12;0.043970044543150344;2.0
5;7;4.0;0;13;0.035348816046775505;1.75
5;5;3.0;0;14;0.04012174266637176;1.6666666666666667
5;7;4.0;0;15;0.027812375608798012;1.75
5;10;5.0;0;16;0.028055730823304814;2.0
5;3;3.0;0;17;0.04427067131642716;1.0
5;12;5.0;0;18;0.0418128706975936;2.4
5;13;6.0;0;20;0.04102894314488;2.1666666666666665
5;1;1.0;0;21;0.0002437269010361011;1.0
6;12;4.0;0;10;0.04384029053007641;3.0
6;7;4.0;0;11;0.03646059832545754;1.75
6;8;5.0;0;12;0.04373228136378302;1.6
6;3;2.0;0;13;0.01748698954418576;1.5
6;8;5.0;0;14;0.04210136017304954;1.6
6;5;3.0;0;15;0.04355553811689245;1.6666666666666667
6;3;2.0;0;16;0.02439835806955878;1.5
6;4;3.0;0;17;0.04275018638930275;1.3333333333333333
6;10;5.0;0;18;0.04327497101383408;2.0
6;16;6.0;0;19;0.04479393486566772;2.6666666666666665
6;10;6.0;0;20;0.04460156635911703;1.6666666666666667
6;1;1.0;0;21;0.0031699884485708145;1.0
6;1;1.0;0;9;0.0043132663083818796;1.0
7;12;4.0;0;10;0.04384029053007641;3.0
7;3;3.0;0;11;0.04219312795252393;1.0
7;7;4.0;0;12;0.02806058557824167;1.75
7;8;5.0;0;13;0.04210136017304954;1.6
7;6;4.0;0;14;0.04475838267169727;1.5
7;7;4.0;0;15;0.02803877357564716;1.75
7;4;3.0;0;16;0.042553388924191055;1.3333333333333333
7;7;4.0;0;17;0.026469720673816057;1.75
7;6;3.0;0;18;0.03667436853314074;2.0
7;6;3.0;0;19;0.03948565910821105;2.0
7;10;5.0;0;20;0.041964331245990825;2.0
7;4;2.0;0;21;0.02587896334854644;2.0
8;16;5.0;0;11;0.04306413553421036;3.2
8;7;4.0;0;12;0.03585384897398402;1.75
8;7;4.0;0;13;0.0381557501083413;1.75
8;8;4.0;0;14;0.042043310810214486;2.0
8;8;4.0;0;15;0.042043310810214486;2.0
8;10;5.0;0;16;0.038364670508948914;2.0
8;10;6.0;0;17;0.036205925524525666;1.6666666666666667
8;13;7.0;0;18;0.04242436504474466;1.8571428571428572
8;13;4.0;0;19;0.03977036778591987;3.25
8;12;7.0;0;20;0.0436492362426631;1.7142857142857142
8;4;2.0;0;21;0.030224416606929642;2.0
9;6;3.0;0;10;0.03988277026730824;2.0
9;5;3.0;0;11;0.03856235613578888;1.6666666666666667
9;5;3.0;0;12;0.036029094597902156;1.6666666666666667
9;3;2.0;0;13;0.043707466073582425;1.5
9;4;2.0;0;15;0.03544750290008562;2.0
9;5;3.0;0;16;0.03877503763640147;1.6666666666666667
9;7;4.0;0;17;0.026904368926187222;1.75
9;16;8.0;0;18;0.04337195073477458;2.0
9;12;5.0;0;20;0.04128311722413308;2.4
9;1;1.0;0;21;0.006812971348755422;1.0
9;1;1.0;0;9;0.038822976269992954;1.0
10;7;4.0;0;12;0.03585384897398402;1.75
10;7;4.0;0;13;0.0381557501083413;1.75
10;5;3.0;0;14;0.040910282189140106;1.6666666666666667
10;8;4.0;0;15;0.042043310810214486;2.0
10;7;4.0;0;16;0.03694891514220759;1.75
10;5;3.0;0;17;0.03899083148397471;1.6666666666666667
10;13;5.0;0;18;0.04082327529196831;2.6
10;13;4.0;0;19;0.03977036778591987;3.25
10;12;5.0;0;20;0.04252797205699381;2.4
10;4;2.0;0;21;0.02691840007721055;2.0
11;5;2.0;0;10;0.027129710685841062;2.5
11;1;1.0;0;11;0.010592356067596592;1.0
11;1;1.0;0;12;0.011482714247122452;1.0
11;4;2.0;0;13;0.03164146477783483;2.0
11;4;2.0;0;14;0.0342207512347155;2.0
11;4;2.0;0;15;0.03544750290008562;2.0
11;4;2.0;0;16;0.027238639903450563;2.0
11;4;2.0;0;17;0.027594374262347742;2.0
11;1;1.0;0;18;0.009299963579612734;1.0
11;4;2.0;0;19;0.04179192828879831;2.0
11;4;3.0;0;20;0.04144375701602262;1.3333333333333333
11;1;1.0;0;21;0.0035069548190363327;1.0
11;1;1.0;0;9;0.038822976269992954;1.0
12;8;4.0;0;11;0.04496563203835762;2.0
12;5;3.0;0;12;0.03244946581795955;1.6666666666666667
12;5;3.0;0;13;0.034751366952316835;1.6666666666666667
12;5;3.0;0;14;0.034751366952316835;1.6666666666666667
12;7;4.0;0;15;0.04292019127686152;1.75
12;7;4.0;0;16;0.03812136315021715;1.75
12;4;2.0;0;17;0.03153536571597461;2.0
12;10;4.0;0;18;0.044582658689881795;2.5
12;16;4.0;0;19;0.039971505366040765;4.0
12;12;4.0;0;20;0.039060484567880485;3.0
12;4;2.0;0;21;0.02691840007721055;2.0
12;5;2.0;0;9;0.0283122857085495;2.5
12;1;1.0;0;8;0.038822976269992954;1.0
13;6;3.0;0;10;0.033730891953525924;2.0
13;1;1.0;0;11;0.010592356067596592;1.0
13;4;2.0;0;12;0.03152997197239004;2.0
13;1;1.0;0;13;0.016622774946430757;1.0
13;5;3.0;0;14;0.034751366952316835;1.6666666666666667
13;5;3.0;0;15;0.03539858774160955;1.6666666666666667
13;1;1.0;0;16;0.020842496088881113;1.0
13;1;1.0;0;17;0.011616895457610951;1.0
13;5;3.0;0;18;0.044140139998658574;1.6666666666666667
13;1;1.0;0;19;0.007710838864117725;1.0
13;4;2.0;0;20;0.024719772021107193;2.0
13;1;1.0;0;21;0.0035069548190363327;1.0
14;9;4.0;0;11;0.03288682706419083;2.25
14;16;5.0;0;12;0.04469321259549406;3.2
14;7;4.0;0;16;0.03990977432213343;1.75
14;9;5.0;0;17;0.04496998442649544;1.8
14;16;6.0;0;18;0.04104941428830989;2.6666666666666665
14;9;4.0;0;19;0.043196919997412264;2.25
14;4;3.0;0;21;0.038343849672435266;1.3333333333333333
15;16;4.0;0;10;0.04274153111391922;4.0
15;4;2.0;0;11;0.02446294368954648;2.0
15;4;3.0;0;12;0.04255739116616032;1.3333333333333333
15;4;3.0;0;13;0.04264311379073667;1.3333333333333333
15;4;2.0;0;14;0.023828843505203725;2.0
15;4;2.0;0;15;0.026964108583953855;2.0
15;7;4.0;0;16;0.03990977432213343;1.75
15;7;4.0;0;17;0.029865228106113063;1.75
15;10;5.0;0;18;0.04368382056256108;2.0
15;9;4.0;0;19;0.043196919997412264;2.25
15;1;1.0;0;20;0.00012200308854757366;1.0
15;1;1.0;0;21;0.0026869352130561544;1.0
16;5;2.0;0;10;0.036384544966273386;2.5
16;6;3.0;0;11;0.03634446686855256;2.0
16;1;1.0;0;12;0.033509523231982856;1.0
16;1;1.0;0;13;0.032421895442502166;1.0
16;6;3.0;0;14;0.04126097350225785;2.0
16;5;2.0;0;15;0.029305241777407322;2.5
16;6;3.0;0;16;0.038994924859973586;2.0
16;1;1.0;0;17;0.025190420238692297;1.0
16;10;5.0;0;18;0.04446918487469857;2.0
16;9;3.0;0;19;0.025273611316969126;3.0
16;1;1.0;0;21;0.03807539715235196;1.0
16;3;1.0;0;9;0.043318452087528506;3.0
16;1;1.0;0;22;0.03807539715235196;1.0
17;9;3.0;0;21;0.02862774270356079;3.0
17;3;1.0;0;9;0.043318452087528506;3.0
18;5;2.0;0;10;0.043915438312197665;2.5
18;5;2.0;0;11;0.023846847325847933;2.5
18;7;4.0;0;12;0.03386767853745381;1.75
18;5;3.0;0;13;0.03030409815971172;1.6666666666666667
18;4;2.0;0;14;0.0350595842172552;2.0
18;4;2.0;0;15;0.034007778381469615;2.0
18;5;3.0;0;16;0.03861865259576609;1.6666666666666667
18;5;3.0;0;17;0.031056732652829752;1.6666666666666667
18;5;3.0;0;18;0.03169280434354277;1.6666666666666667
18;4;2.0;0;19;0.04344124978603872;2.0
18;5;2.0;0;20;0.031060681074855778;2.5
18;1;1.0;0;21;0.03605402197199188;1.0
19;10;5.0;0;12;0.037338195581164906;2.0
19;10;7.0;0;13;0.04113199235953639;1.4285714285714286
19;7;4.0;0;14;0.038937397255015695;1.75
19;10;6.0;0;15;0.04250206640329587;1.6666666666666667
19;16;8.0;0;16;0.04371406567330617;2.0
19;10;6.0;0;17;0.028539933998108474;1.6666666666666667
19;13;8.0;0;18;0.036008184971835486;1.625
19;10;7.0;0;19;0.04449003669136535;1.4285714285714286
19;5;2.0;0;21;0.029263875135693503;2.5
19;6;2.0;0;9;0.04387994041669178;3.0
20;6;3.0;0;11;0.03568672723132142;2.0
20;5;3.0;0;12;0.03644606402392439;1.6666666666666667
20;12;6.0;0;13;0.04401947552943184;2.0
20;10;5.0;0;14;0.04125972222503361;2.0
20;10;5.0;0;15;0.04125972222503361;2.0
20;9;5.0;0;16;0.04268086129983088;1.8
20;8;5.0;0;17;0.04449367372731578;1.6
20;13;8.0;0;18;0.036008184971835486;1.625
20;10;7.0;0;19;0.04449003669136535;1.4285714285714286
20;6;3.0;0;21;0.03994374415557655;2.0
21;9;4.0;0;11;0.03851892178195687;2.25
21;10;6.0;0;12;0.043512498627550564;1.6666666666666667
21;10;5.0;0;13;0.041710868056977914;2.0
21;10;7.0;0;14;0.043813045597645574;1.4285714285714286
21;10;5.0;0;15;0.04125972222503361;2.0
21;10;7.0;0;16;0.033716232527208435;1.4285714285714286
21;10;6.0;0;17;0.030143056096282775;1.6666666666666667
21;13;8.0;0;18;0.036008184971835486;1.625
21;6;3.0;0;21;0.03994374415557655;2.0
21;5;1.0;0;9;0.028696860746758417;5.0
22;6;3.0;0;10;0.032962516121321186;2.0
22;1;1.0;0;11;0.010142707873852332;1.0
22;10;5.0;0;12;0.03763743913673055;2.0
22;4;2.0;0;13;0.026867956647807077;2.0
22;4;2.0;0;14;0.037825338548696553;2.0
22;7;4.0;0;15;0.03864183366987239;1.75
22;5;3.0;0;16;0.04230210113828778;1.6666666666666667
22;5;3.0;0;17;0.036396552508831295;1.6666666666666667
22;5;3.0;0;18;0.036396552508831295;1.6666666666666667
22;5;2.0;0;19;0.02533880629750618;2.5
22;1;1.0;0;20;0.008940338955580357;1.0
22;4;2.0;0;21;0.0418389902388957;2.0
23;10;7.0;0;11;0.036634501751988534;1.4285714285714286
23;7;4.0;0;12;0.03582978185069618;1.75
23;10;5.0;0;13;0.04040698951436925;2.0
23;10;5.0;0;14;0.04020962955354946;2.0
23;10;6.0;0;15;0.0432954293914073;1.6666666666666667
23;10;6.0;0;16;0.03850307059866654;1.6666666666666667
23;10;6.0;0;17;0.033158186051095724;1.6666666666666667
23;10;6.0;0;18;0.03457868833447689;1.6666666666666667
23;16;6.0;0;19;0.044346358794675175;2.6666666666666665
23;4;2.0;0;21;0.0418389902388957;2.0
23;1;1.0;0;9;0.0276542871354593;1.0
24;7;4.0;0;11;0.04089175487149123;1.75
24;10;4.0;0;12;0.03671548617720362;2.5
24;16;5.0;0;13;0.04379012796210883;3.2
24;10;5.0;0;16;0.044191570392453264;2.0
24;10;5.0;0;17;0.039259837480564;2.0
24;13;6.0;0;18;0.03987718218952971;2.1666666666666665
24;1;1.0;0;21;0.0037503317273436558;1.0
24;1;1.0;0;9;0.020085106679905203;1.0
25;5;3.0;0;11;0.03440636981478899;1.6666666666666667
25;10;4.0;0;12;0.03671548617720362;2.5
25;7;4.0;0;13;0.04107927548645136;1.75
25;9;4.0;0;14;0.04230203126678018;2.25
25;9;3.0;0;15;0.030934927839054716;3.0
25;9;4.0;0;16;0.03397639524103695;2.25
25;10;5.0;0;17;0.039259837480564;2.0
25;6;3.0;0;18;0.04252176571263018;2.0
25;9;3.0;0;20;0.03187148613006309;3.0
25;4;2.0;0;21;0.043036489266837924;2.0
26;10;4.0;0;10;0.044559428343847275;2.5
26;5;3.0;0;11;0.03440636981478899;1.6666666666666667
26;5;2.0;0;12;0.03546797485414831;2.5
26;7;4.0;0;13;0.03726619048434139;1.75
26;5;2.0;0;14;0.030383630812782243;2.5
26;9;4.0;0;15;0.04045083680413913;2.25
26;8;3.0;0;16;0.04383254833294274;2.6666666666666665
26;8;4.0;0;17;0.04348632929963761;2.0
26;10;5.0;0;18;0.04253701120375954;2.0
26;9;3.0;0;19;0.0300881954549708;3.0
26;9;3.0;0;20;0.03187148613006309;3.0
26;1;1.0;0;21;0.011636194555505753;1.0
27;4;2.0;0;10;0.038188039418811714;2.0
27;1;1.0;0;11;0.01277988482987156;1.0
27;9;3.0;0;12;0.03374109587492924;3.0
27;4;2.0;0;13;0.03512313715638049;2.0
27;9;3.0;0;14;0.03127887148016575;3.0
27;3;1.0;0;15;0.02791771439272021;3.0
27;5;2.0;0;16;0.021318440666100506;2.5
27;5;2.0;0;17;0.020117443039407552;2.5
27;5;2.0;0;18;0.020117443039407552;2.5
27;5;2.0;0;19;0.02564675203434528;2.5
27;9;3.0;0;20;0.03187148613006309;3.0
27;1;1.0;0;21;0.011636194555505753;1.0
28;1;1.0;0;10;0.010388939459382285;1.0
28;1;1.0;0;11;0.006926896998378994;1.0
28;9;3.0;0;12;0.03374109587492924;3.0
28;4;2.0;0;13;0.029270149324887914;2.0
28;5;2.0;0;14;0.030383630812782243;2.5
28;9;3.0;0;15;0.028414737335460787;3.0
28;8;3.0;0;16;0.04131235782934882;2.6666666666666665
28;5;2.0;0;17;0.020117443039407552;2.5
28;5;2.0;0;18;0.020117443039407552;2.5
28;1;1.0;0;19;0.01387449955340399;1.0
28;5;2.0;0;20;0.027766292161717554;2.5
28;1;1.0;0;21;0.011636194555505753;1.0
29;6;3.0;0;10;0.04049354918258419;2.0
29;1;1.0;0;11;0.006926896998378994;1.0
29;5;2.0;0;12;0.03546797485414831;2.5
29;1;1.0;0;13;0.029668019107910427;1.0
29;4;1.0;0;14;0.04331840335187326;4.0
29;9;3.0;0;15;0.028414737335460787;3.0
29;5;2.0;0;16;0.021318440666100506;2.5
29;6;3.0;0;17;0.03569767629940745;2.0
29;5;2.0;0;18;0.020117443039407552;2.5
29;5;2.0;0;19;0.02564675203434528;2.5
29;1;1.0;0;20;0.011965195417305534;1.0
29;1;1.0;0;21;0.011636194555505753;1.0
30;16;5.0;0;11;0.043209005135438086;3.2
30;13;5.0;0;17;0.042680698286296385;2.6
30;9;3.0;0;21;0.03224538809823973;3.0
30;1;1.0;0;9;0.013421102508020064;1.0
31;16;4.0;0;10;0.04488718925853785;4.0
31;7;4.0;0;11;0.041256280793220176;1.75
31;9;3.0;0;12;0.03873844228952419;3.0
31;7;4.0;0;13;0.041443801408180304;1.75
31;5;2.0;0;14;0.03706338059979208;2.5
31;1;1.0;0;15;0.030857273403785627;1.0
31;6;3.0;0;16;0.04440675636371938;2.0
31;6;3.0;0;17;0.04306581822570248;2.0
31;9;4.0;0;18;0.039712883899561145;2.25
31;9;3.0;0;19;0.031435545019204154;3.0
31;4;2.0;0;20;0.04109960977331048;2.0
31;1;1.0;0;9;0.013421102508020064;1.0
32;8;4.0;0;10;0.039874505184219734;2.0
32;3;2.0;0;11;0.03637119749756987;1.5
32;3;2.0;0;12;0.038809954078726394;1.5
32;3;2.0;0;13;0.03969100842203249;1.5
32;7;4.0;0;14;0.0290732305619981;1.75
32;5;3.0;0;15;0.03906852565587434;1.6666666666666667
32;5;3.0;0;16;0.038169728333163816;1.6666666666666667
32;2;2.0;0;17;0.03846865312687653;1.0
32;2;2.0;0;18;0.03812883021448124;1.0
32;6;3.0;0;19;0.03292009909903183;2.0
32;6;3.0;0;20;0.039641073574342656;2.0
32;4;2.0;0;21;0.03682917896122129;2.0
33;10;6.0;0;11;0.04265303909571389;1.6666666666666667
33;10;5.0;0;12;0.04231932290845888;2.0
33;12;7.0;0;13;0.04416305220640022;1.7142857142857142
33;7;4.0;0;14;0.0290732305619981;1.75
33;17;6.0;0;15;0.044644880978348754;2.8333333333333335
33;10;7.0;0;16;0.037573012725518;1.4285714285714286
33;10;6.0;0;17;0.039559497784786256;1.6666666666666667
33;10;6.0;0;18;0.0380475966114476;1.6666666666666667
33;4;2.0;0;21;0.03682917896122129;2.0
34;3;2.0;0;11;0.03637119749756987;1.5
34;7;4.0;0;12;0.02773849478358777;1.75
34;5;3.0;0;13;0.03357696043380311;1.6666666666666667
34;10;5.0;0;14;0.042519627307428205;2.0
34;7;4.0;0;15;0.027824217408164115;1.75
34;6;4.0;0;16;0.044837486888933104;1.5
34;13;8.0;0;17;0.037896407835217596;1.625
34;10;6.0;0;18;0.03406328221090637;1.6666666666666667
34;6;3.0;0;20;0.035656759173801435;2.0
34;1;1.0;0;21;0.00011294295738047406;1.0
35;5;3.0;0;10;0.03960669584287725;1.6666666666666667
35;3;2.0;0;11;0.03637119749756987;1.5
35;1;1.0;0;12;0.008271543393455108;1.0
35;5;3.0;0;13;0.03357696043380311;1.6666666666666667
35;3;2.0;0;14;0.03969100842203249;1.5
35;1;1.0;0;15;0.021283865694887934;1.0
35;1;1.0;0;16;0.011598958603811358;1.0
35;5;3.0;0;17;0.04055000952962717;1.6666666666666667
35;5;3.0;0;18;0.04055000952962717;1.6666666666666667
35;5;3.0;0;19;0.04311992697009983;1.6666666666666667
35;1;1.0;0;20;0.00044194381918025437;1.0
35;1;1.0;0;21;0.00011294295738047406;1.0
36;9;4.0;0;10;0.03641423145850981;2.25
36;7;4.0;0;11;0.03768978220972801;1.75
36;3;2.0;0;12;0.038657392611901126;1.5
36;5;3.0;0;13;0.04316067795046853;1.6666666666666667
36;7;4.0;0;14;0.03503530097339226;1.75
36;7;4.0;0;15;0.03503530097339226;1.75
36;7;4.0;0;16;0.033005365214160205;1.75
36;10;5.0;0;17;0.038256947307482525;2.0
36;10;5.0;0;18;0.03860171757395823;2.0
36;1;1.0;0;21;0.0035341305949270455;1.0
36;1;1.0;0;9;0.008655382591613874;1.0
37;10;7.0;0;18;0.03859641080237287;1.4285714285714286
37;1;1.0;0;21;0.0035341305949270455;1.0
38;9;4.0;0;10;0.040840825393667395;2.25
38;3;2.0;0;11;0.03621863603074459;1.5
38;17;6.0;0;12;0.04462354273961571;2.8333333333333335
38;7;4.0;0;13;0.03946189490854984;1.75
38;3;2.0;0;14;0.03953844695520722;1.5
