delivery_area_id;partners_cnt;orders_cnt;day_of_week;hour;delay_rate;perc
0;12;5.0;5;10;0.024455668725487854;2.4
0;12;6.0;5;11;0.037132884480055285;2.0
0;6;4.0;5;12;0.02935727947808242;1.5
0;9;5.0;5;13;0.04296215997151231;1.8
0;6;4.0;5;14;0.03603629080047884;1.5
0;6;3.0;5;15;0.02641483625756725;2.0
0;6;4.0;5;16;0.04135942854647084;1.5
0;6;4.0;5;17;0.021811793378534085;1.5
0;6;4.0;5;18;0.028564380456192844;1.5
0;9;5.0;5;19;0.041101507935108646;1.8
0;4;3.0;5;20;0.028344341144070046;1.3333333333333333
0;3;1.0;5;21;0.01075757545810178;3.0
1;9;4.0;5;10;0.03616075375938836;2.25
1;12;6.0;5;11;0.039850713496920445;2.0
1;12;6.0;5;12;0.03901898007196607;2.0
1;7;4.0;5;13;0.03542436618963716;1.75
1;12;5.0;5;14;0.02630918812872511;2.4
1;12;5.0;5;15;0.03154934834831021;2.4
1;7;3.0;5;16;0.028704804235097286;2.3333333333333335
1;7;4.0;5;17;0.02949534138741588;1.75
1;19;6.0;5;18;0.037913752686220645;3.1666666666666665
1;5;3.0;5;19;0.04241522631000795;1.6666666666666667
1;7;4.0;5;20;0.041167958542158975;1.75
1;4;2.0;5;21;0.026357818100258605;2.0
3;6;3.0;5;10;0.04124924848830072;2.0
3;7;4.0;5;11;0.04030277867652143;1.75
3;7;4.0;5;12;0.03542436618963716;1.75
3;12;6.0;5;13;0.03901898007196607;2.0
3;4;2.0;5;14;0.03668258481008938;2.0
3;7;4.0;5;15;0.044309756587881256;1.75
3;7;3.0;5;16;0.028704804235097286;2.3333333333333335
3;6;3.0;5;17;0.03060870164557464;2.0
3;6;3.0;5;18;0.037361288723233375;2.0
3;3;1.0;5;19;0.010955601031427033;3.0
3;3;1.0;5;20;0.010260446146148048;3.0
3;3;1.0;5;21;0.00464228273563662;3.0
4;12;5.0;5;10;0.036116333521147466;2.4
4;12;5.0;5;11;0.025889950665141846;2.4
4;7;4.0;5;14;0.030660835691284465;1.75
4;12;5.0;5;15;0.028254812308499848;2.4
4;12;6.0;5;16;0.04186842966330555;2.0
4;7;4.0;5;17;0.03502786463856314;1.75
4;19;5.0;5;18;0.03549372678525316;3.8
4;12;5.0;5;19;0.04429240631512627;2.4
4;19;5.0;5;20;0.0334874676398367;3.8
4;3;1.0;5;21;0.011725430096885654;3.0
5;12;6.0;5;11;0.04024518916151957;2.0
5;12;6.0;5;13;0.03941345573656519;2.0
5;7;4.0;5;14;0.030660835691284465;1.75
5;12;5.0;5;15;0.028254812308499848;2.4
5;12;5.0;5;17;0.03311206382534774;2.4
5;19;6.0;5;18;0.0418048562555377;3.1666666666666665
5;19;6.0;5;19;0.04248174232956197;3.1666666666666665
5;9;4.0;5;20;0.0375651079930004;2.25
5;4;2.0;5;21;0.033440965461507634;2.0
6;6;3.0;5;10;0.03642195785593777;2.0
6;12;6.0;5;11;0.039387885200331076;2.0
6;6;3.0;5;12;0.03527983454179919;2.0
6;6;3.0;5;13;0.03527983454179919;2.0
6;7;4.0;5;14;0.036154954413374796;1.75
6;7;3.0;5;15;0.029734242647614855;2.3333333333333335
6;9;4.0;5;16;0.03579446352356014;2.25
6;19;6.0;5;17;0.03316214704019316;3.1666666666666665
6;5;2.0;5;18;0.027121978636025036;2.5
6;12;5.0;5;19;0.04063234776979096;2.4
6;9;4.0;5;20;0.03361902416591744;2.25
6;3;1.0;5;21;0.0097360763729229;3.0
6;1;1.0;5;9;0.01222699632417788;1.0
7;8;4.0;5;10;0.04160768163144342;2.0
7;12;5.0;5;11;0.02503264670395335;2.4
7;12;6.0;5;12;0.0385561517753767;2.0
7;4;2.0;5;13;0.040067306521227045;2.0
7;12;5.0;5;14;0.025846359832135752;2.4
7;12;5.0;5;15;0.03578917500864181;2.4
7;7;3.0;5;16;0.029734242647614855;2.3333333333333335
7;6;3.0;5;17;0.03887832658725224;2.0
7;19;6.0;5;18;0.038144797710202384;3.1666666666666665
7;7;4.0;5;19;0.04244089386288177;1.75
7;9;4.0;5;20;0.03361902416591744;2.25
7;4;2.0;5;21;0.035409760064006965;2.0
8;7;4.0;5;11;0.04116841343078554;1.75
8;7;4.0;5;12;0.03498704822464811;1.75
8;12;5.0;5;13;0.02416001776423565;2.4
8;12;5.0;5;14;0.02580546431737243;2.4
8;12;6.0;5;16;0.04125872472554293;2.0
8;12;6.0;5;17;0.043119065471161455;2.0
8;19;6.0;5;18;0.038144797710202384;3.1666666666666665
8;12;5.0;5;19;0.03764857594672295;2.4
8;12;5.0;5;20;0.04125661608987483;2.4
8;3;1.0;5;21;0.010230974283543913;3.0
9;12;5.0;5;11;0.024991751189190028;2.4
9;12;5.0;5;12;0.02416001776423565;2.4
9;12;5.0;5;14;0.02580546431737243;2.4
9;12;6.0;5;15;0.04125872472554293;2.0
9;12;5.0;5;16;0.027645107370737228;2.4
9;12;6.0;5;17;0.043119065471161455;2.0
9;12;5.0;5;18;0.038476246878693235;2.4
9;5;3.0;5;19;0.044525248124226216;1.6666666666666667
9;5;3.0;5;20;0.04469354845313714;1.6666666666666667
9;4;2.0;5;21;0.03242598824093896;2.0
9;1;1.0;5;9;0.01570566605786691;1.0
10;12;5.0;5;10;0.03521813404519566;2.4
10;12;5.0;5;11;0.024991751189190028;2.4
10;12;5.0;5;12;0.02416001776423565;2.4
10;7;4.0;5;13;0.03498704822464811;1.75
10;12;6.0;5;14;0.043155628497253455;2.0
10;6;3.0;5;15;0.03583225519648643;2.0
10;12;5.0;5;16;0.027645107370737228;2.4
10;6;4.0;5;17;0.043035074091795605;1.5
10;12;5.0;5;18;0.038476246878693235;2.4
10;7;4.0;5;19;0.03945712203981377;1.75
10;12;5.0;5;20;0.04125661608987483;2.4
10;4;2.0;5;21;0.030528954902363917;2.0
10;1;1.0;5;9;0.01570566605786691;1.0
11;8;4.0;5;10;0.041566786116680104;2.0
11;1;1.0;5;11;0.039641371390995744;1.0
11;6;3.0;5;12;0.03653928972269547;2.0
11;2;1.0;5;13;0.03486131293630729;2.0
11;5;2.0;5;14;0.016761718637859205;2.5
11;5;2.0;5;15;0.022083180237633046;2.5
