delivery_area_id;partners_cnt;orders_cnt;day_of_week;hour;delay_rate;perc
0;12;5.0;6;10;0.04440354802281562;2.4
0;6;3.0;6;11;0.03347915238619376;2.0
0;9;5.0;6;12;0.04275703140964662;1.8
0;9;5.0;6;13;0.043262814003665946;1.8
0;6;3.0;6;14;0.04201118309679507;2.0
0;12;5.0;6;15;0.039882803312230375;2.4
0;10;6.0;6;16;0.04335957911114406;1.6666666666666667
0;7;4.0;6;17;0.04174477264464104;1.75
0;7;3.0;6;18;0.033592770317317305;2.3333333333333335
0;7;4.0;6;19;0.04274974581249778;1.75
0;1;1.0;6;21;0.0069751809755242075;1.0
1;7;4.0;6;11;0.04489592241293452;1.75
1;21;7.0;6;12;0.0414197456931688;3.0
1;9;5.0;6;13;0.043262814003665946;1.8
1;12;6.0;6;14;0.041166662264380434;2.0
1;7;4.0;6;15;0.04265843890452195;1.75
1;6;3.0;6;16;0.02640959285563969;2.0
1;10;6.0;6;17;0.04128764580188309;1.6666666666666667
1;9;4.0;6;18;0.0431495789801062;2.25
1;3;3.0;6;19;0.041900684934922605;1.0
1;6;3.0;6;20;0.04416660461529338;2.0
1;3;2.0;6;21;0.020017414358125197;1.5
3;12;5.0;6;10;0.04440354802281562;2.4
3;1;1.0;6;11;0.00047747924287447466;1.0
3;9;5.0;6;12;0.04275703140964662;1.8
3;6;3.0;6;13;0.028725693276278358;2.0
3;6;3.0;6;14;0.04201118309679507;2.0
3;6;3.0;6;15;0.02820491124140626;2.0
3;6;3.0;6;16;0.02640959285563969;2.0
3;6;3.0;6;17;0.041245353875624315;2.0
3;7;3.0;6;18;0.033592770317317305;2.3333333333333335
3;7;4.0;6;19;0.04274974581249778;1.75
3;3;2.0;6;20;0.03106141084735272;1.5
3;3;2.0;6;21;0.020017414358125197;1.5
4;10;5.0;6;10;0.04397637348554303;2.0
4;7;4.0;6;11;0.04247348123154376;1.75
4;6;3.0;6;12;0.027117071560466652;2.0
4;21;7.0;6;13;0.041925528287188124;3.0
4;12;7.0;6;14;0.04227145700829001;1.7142857142857142
4;9;5.0;6;15;0.04035079953225702;1.8
4;21;8.0;6;16;0.04184347880144441;2.625
4;9;6.0;6;17;0.041464777644390625;1.5
4;9;4.0;6;18;0.04072713779871543;2.25
4;12;7.0;6;19;0.04472802346837088;1.7142857142857142
4;13;6.0;6;20;0.044450859152556074;2.1666666666666665
4;1;1.0;6;21;0.00041124803091144193;1.0
5;21;7.0;6;11;0.04443580215466595;3.0
5;10;6.0;6;12;0.03701958323214146;1.6666666666666667
5;10;6.0;6;13;0.037525365826160784;1.6666666666666667
5;12;5.0;6;14;0.04118904101044669;2.4
5;9;5.0;6;15;0.04035079953225702;1.8
5;10;7.0;6;16;0.044464373855053634;1.4285714285714286
5;9;6.0;6;17;0.041464777644390625;1.5
5;12;6.0;6;18;0.04074104390628047;2.0
5;12;7.0;6;19;0.04472802346837088;1.7142857142857142
5;1;1.0;6;21;0.00041124803091144193;1.0
6;7;4.0;6;10;0.04429744285105684;1.75
6;21;5.0;6;11;0.03979278909332024;4.2
6;10;5.0;6;12;0.041762718880501606;2.0
6;10;6.0;6;13;0.037525365826160784;1.6666666666666667
6;9;4.0;6;14;0.0394407883997967;2.25
6;9;5.0;6;15;0.04035079953225702;1.8
6;9;5.0;6;16;0.03845059965060631;1.8
6;9;5.0;6;17;0.03933225177649198;1.8
6;9;4.0;6;18;0.04072713779871543;2.25
6;7;4.0;6;19;0.04032730463110702;1.75
6;6;3.0;6;20;0.04416660461529338;2.0
