delivery_area_id;partners_cnt;orders_cnt;day_of_week;hour;delay_rate;perc
0;2;2.0;1;10;0.0413619969296461;1.0
0;5;4.0;1;11;0.0383958292964386;1.25
0;5;4.0;1;12;0.0435930580516338;1.25
0;7;3.0;1;13;0.0348807431581859;2.333333333333333
0;5;4.0;1;14;0.0445154720223844;1.25
0;5;4.0;1;15;0.0445337909181348;1.25
0;5;4.0;1;16;0.037500626345728;1.25
0;5;4.0;1;17;0.0397576468999188;1.25
0;2;2.0;1;18;0.0404599966456241;1.0
0;2;2.0;1;19;0.0404599966456241;1.0
0;6;5.0;1;20;0.0396399209089004;1.2
0;1;1.0;1;21;0.011452742081187;1.0
1;14;6.0;1;11;0.0446287143875062;2.333333333333333
1;6;5.0;1;12;0.0373276080521631;1.2
1;6;5.0;1;13;0.0369950483464501;1.2
1;12;5.0;1;14;0.0441821180691364;2.4
1;3;3.0;1;15;0.0320939331710453;1.0
1;2;2.0;1;16;0.0191367530795408;1.0
1;3;3.0;1;17;0.0259627553775911;1.0
1;4;3.0;1;18;0.0324832805742943;1.3333333333333333
1;6;5.0;1;19;0.0402845866800049;1.2
1;2;2.0;1;20;0.0385724047969965;1.0
1;3;2.0;1;21;0.0337756941865769;1.5
3;5;4.0;1;10;0.0429155768703233;1.25
3;9;4.0;1;11;0.0395866612829651;2.25
3;3;2.0;1;12;0.0265849905969985;1.5
3;9;4.0;1;13;0.0415334532701765;2.25
3;3;3.0;1;14;0.0414644324542486;1.0
3;1;1.0;1;15;0.0109815497616777;1.0
3;6;4.0;1;16;0.0401561084224901;1.5
3;7;4.0;1;17;0.0385720057913892;1.75
3;2;2.0;1;18;0.03790922054124;1.0
3;9;4.0;1;19;0.0443987955223578;2.25
3;5;4.0;1;20;0.0291712134949188;1.25
3;3;2.0;1;21;0.0337756941865769;1.5
4;4;3.0;1;10;0.0440209359517233;1.3333333333333333
4;14;8.0;1;11;0.0415847286010912;1.75
4;9;4.0;1;12;0.0402063330591053;2.25
4;7;4.0;1;13;0.0447456391527426;1.75
4;12;5.0;1;14;0.0441821180691364;2.4
4;6;5.0;1;15;0.030539255683078;1.2
4;6;4.0;1;16;0.037791101617639;1.5
4;6;5.0;1;17;0.0342195646742417;1.2
4;6;5.0;1;20;0.0402845866800049;1.2
4;4;3.0;1;21;0.0388298297294451;1.3333333333333333
5;4;3.0;1;11;0.0380858674296923;1.3333333333333333
5;9;4.0;1;12;0.0402063330591053;2.25
5;6;5.0;1;13;0.0353353684296659;1.2
5;12;5.0;1;14;0.0441821180691364;2.4
