delivery_area_id;partners_cnt;orders_cnt;day_of_week;hour;delay_rate;perc
0;5;4.0;2;10;0.0429930826438872;1.25
0;6;3.0;2;11;0.0366134040465532;2.0
0;5;4.0;2;12;0.0448072308936217;1.25
0;3;2.0;2;13;0.0443047715793168;1.5
0;6;3.0;2;14;0.043229499163069;2.0
0;5;4.0;2;15;0.0426139421080947;1.25
0;6;3.0;2;16;0.0368519524023535;2.0
0;3;2.0;2;17;0.0388685041989988;1.5
0;5;4.0;2;18;0.0419187435887339;1.25
0;6;3.0;2;19;0.0363822999530678;2.0
0;5;4.0;2;20;0.0422296040065829;1.25
0;4;2.0;2;21;0.0370567937733516;2.0
1;7;6.0;2;10;0.0449699512503169;1.1666666666666667
1;14;6.0;2;11;0.0432276224748555;2.333333333333333
1;6;3.0;2;12;0.0296062467218037;2.0
1;12;5.0;2;13;0.0443685911286565;2.4
1;4;2.0;2;14;0.0433073519853252;2.0
1;4;2.0;2;15;0.0386009316674921;2.0
1;6;3.0;2;16;0.0204151489759426;2.0
1;6;5.0;2;17;0.0446193873257621;1.2
1;5;4.0;2;18;0.0432959592862246;1.25
1;4;2.0;2;19;0.0343024916306431;2.0
1;14;6.0;2;20;0.0432199699039867;2.333333333333333
1;1;1.0;2;21;0.0355912240369949;1.0
3;9;4.0;2;10;0.0420507104859529;2.25
3;4;2.0;2;11;0.0415583725776759;2.0
3;6;3.0;2;12;0.0296062467218037;2.0
3;4;2.0;2;13;0.0423588197383592;2.0
3;4;2.0;2;14;0.0433073519853252;2.0
3;4;2.0;2;15;0.0386009316674921;2.0
3;6;3.0;2;16;0.0204151489759426;2.0
3;6;3.0;2;17;0.0230183109953077;2.0
3;6;3.0;2;18;0.019986694770152;2.0
3;4;2.0;2;19;0.0343024916306431;2.0
3;1;1.0;2;20;0.0355912240369949;1.0
3;1;1.0;2;21;0.0355912240369949;1.0
4;14;6.0;2;10;0.0448771725492063;2.333333333333333
4;6;3.0;2;11;0.0242257983089716;2.0
4;9;4.0;2;12;0.0427691446112839;2.25
4;10;5.0;2;13;0.0409742538945308;2.0
4;9;4.0;2;14;0.0397825446035182;2.25
4;9;4.0;2;15;0.0401382634038474;2.25
4;8;4.0;2;16;0.0441899530304944;2.0
4;11;6.0;2;17;0.0447885911845064;1.8333333333333333
4;11;6.0;2;18;0.0447885911845064;1.8333333333333333
4;14;6.0;2;19;0.0422146839563681;2.333333333333333
4;14;7.0;2;20;0.0436039219125122;2.0
4;4;2.0;2;21;0.0218746572609922;2.0
5;14;6.0;2;10;0.0448771725492063;2.333333333333333
5;15;7.0;2;11;0.0442123481975993;2.142857142857143
5;14;6.0;2;12;0.0424114153560939;2.333333333333333
5;9;4.0;2;13;0.0397825446035182;2.25
5;10;5.0;2;14;0.0409742538945308;2.0
5;10;6.0;2;15;0.0442029657584198;1.6666666666666667
5;10;6.0;2;16;0.0409125548532983;1.6666666666666667
5;14;7.0;2;17;0.0441120721462269;2.0
5;11;5.0;2;18;0.0436770701720332;2.2
5;6;3.0;2;19;0.0202236592464675;2.0
5;9;4.0;2;20;0.0437883199484694;2.25
5;1;1.0;2;21;0.0276295467825331;1.0
6;11;5.0;2;10;0.042946542219487;2.2
6;10;5.0;2;11;0.0418502111227676;2.0
6;4;2.0;2;12;0.0322649692513789;2.0
6;10;5.0;2;13;0.0409742538945308;2.0
6;4;2.0;2;14;0.0302269014905793;2.0
6;4;2.0;2;15;0.0287902868060494;2.0
6;8;4.0;2;16;0.0441899530304944;2.0
6;9;4.0;2;17;0.0414383439709674;2.25
6;11;6.0;2;18;0.0447885911845064;1.8333333333333333
6;15;7.0;2;19;0.0433631956379821;2.142857142857143
6;6;3.0;2;20;0.0213049878923424;2.0
6;6;3.0;2;21;0.0251717999715333;2.0
6;1;1.0;2;9;0.0090270368438503;1.0
7;8;4.0;2;10;0.0444983819682693;2.0
7;4;2.0;2;11;0.0317477277162332;2.0
7;6;3.0;2;12;0.0263364410885005;2.0
7;9;4.0;2;13;0.0397825446035182;2.25
7;10;6.0;2;14;0.0438472469580906;1.6666666666666667
7;4;2.0;2;15;0.0287902868060494;2.0
7;6;3.0;2;16;0.0204151489759426;2.0
7;1;1.0;2;17;0.01743389521702;1.0
7;11;5.0;2;18;0.0436770701720332;2.2
7;6;3.0;2;19;0.0202236592464675;2.0
7;9;4.0;2;20;0.0437883199484694;2.25
7;3;2.0;2;21;0.0434786341631514;1.5
8;11;5.0;2;10;0.042946542219487;2.2
8;6;3.0;2;11;0.0260989565018201;2.0
8;6;3.0;2;12;0.0256510663200552;2.0
8;6;3.0;2;13;0.0252229992735833;2.0
8;9;4.0;2;14;0.0397825446035182;2.25
8;9;4.0;2;15;0.0401382634038474;2.25
8;6;3.0;2;16;0.0222883071687911;2.0
8;6;3.0;2;17;0.0248914691881562;2.0
8;11;6.0;2;18;0.0447885911845064;1.8333333333333333
8;6;5.0;2;19;0.0433974196928562;1.2
8;9;4.0;2;20;0.0437883199484694;2.25
8;4;2.0;2;21;0.0283010425120748;2.0
9;11;5.0;2;10;0.042946542219487;2.2
9;9;4.0;2;11;0.040658501831755;2.25
9;9;4.0;2;12;0.0402106116499901;2.25
9;9;4.0;2;13;0.0397825446035182;2.25
9;4;2.0;2;14;0.0385022543486427;2.0
9;6;3.0;2;15;0.0255787180739126;2.0
9;8;4.0;2;16;0.0441899530304944;2.0
9;9;4.0;2;17;0.0414383439709674;2.25
9;11;5.0;2;18;0.0436770701720332;2.2
9;5;4.0;2;19;0.0449880426753067;1.25
9;9;4.0;2;20;0.0437883199484694;2.25
9;1;1.0;2;21;0.0359048996405965;1.0
9;1;1.0;2;9;0.0173023897019137;1.0
9;1;1.0;2;8;0.0173023897019137;1.0
10;7;6.0;2;10;0.0439666408004908;1.1666666666666667
10;5;4.0;2;11;0.0439173853996706;1.25
10;12;6.0;2;12;0.044677236179531;2.0
10;6;3.0;2;13;0.0218534909121822;2.0
10;4;2.0;2;14;0.0336869695598974;2.0
10;9;4.0;2;15;0.0401382634038474;2.25
10;10;5.0;2;16;0.0380395617897386;2.0
10;6;3.0;2;17;0.0215219608267551;2.0
10;11;5.0;2;18;0.0436770701720332;2.2
10;5;4.0;2;19;0.0449880426753067;1.25
10;9;4.0;2;20;0.0437883199484694;2.25
10;5;4.0;2;21;0.0421124540803019;1.25
10;1;1.0;2;9;0.0166973171438118;1.0
11;9;4.0;2;10;0.0393232136434413;2.25
11;4;2.0;2;11;0.0435403889657906;2.0
11;1;1.0;2;12;0.0214940928688851;1.0
11;4;2.0;2;13;0.0327384373129314;2.0
11;4;2.0;2;14;0.0336869695598974;2.0
11;1;1.0;2;15;0.0197355809367368;1.0
11;4;2.0;2;16;0.0335342859777904;2.0
11;4;2.0;2;17;0.0309835310636742;2.0
11;1;1.0;2;18;0.0251041755169815;1.0
11;5;3.0;2;19;0.042359591205304;1.6666666666666667
11;4;2.0;2;20;0.0300349121070449;2.0
12;9;4.0;2;10;0.0411303401818995;2.25
12;6;3.0;2;11;0.0310620413206581;2.0
12;6;3.0;2;12;0.0222815579586541;2.0
12;10;5.0;2;13;0.0427813804329891;2.0
12;10;5.0;2;14;0.0427813804329891;2.0
12;6;3.0;2;15;0.0222092097125114;2.0
12;4;2.0;2;16;0.0335342859777904;2.0
12;9;4.0;2;17;0.0432454705094256;2.25
12;5;3.0;2;18;0.0421226267289885;1.6666666666666667
12;5;3.0;2;19;0.042359591205304;1.6666666666666667
12;14;6.0;2;20;0.0432199699039867;2.333333333333333
12;3;2.0;2;21;0.0408105751746668;1.5
12;1;1.0;2;9;0.0288231406728868;1.0
13;12;5.0;2;10;0.0448537209918261;2.4
13;5;4.0;2;11;0.0436576319650693;1.25
13;4;2.0;2;12;0.0331665043594033;2.0
13;9;4.0;2;13;0.0415896711419764;2.25
13;1;1.0;2;14;0.0325007452633521;1.0
13;1;1.0;2;15;0.0318614044658118;1.0
13;4;2.0;2;16;0.0335342859777904;2.0
13;4;2.0;2;17;0.0309835310636742;2.0
13;1;1.0;2;18;0.0372299990460565;1.0
13;4;2.0;2;19;0.0279519148385185;2.0
13;2;1.0;2;20;0.0321451562731125;2.0
13;2;1.0;2;21;0.0321451562731125;2.0
14;7;6.0;2;11;0.0435883226499866;1.1666666666666667
14;11;5.0;2;12;0.0440335340817036;2.2
14;11;6.0;2;13;0.041608897950562;1.8333333333333333
14;9;4.0;2;14;0.0415896711419764;2.25
14;6;3.0;2;15;0.0244276396129324;2.0
14;8;4.0;2;16;0.0441899530304944;2.0
